Id,date,total_sleep_minutes
2320127002,2016-04-26,81.0
2320127002,2016-04-27,81.0
2320127002,2016-04-28,81.0
2320127002,2016-04-29,81.0
2320127002,2016-04-30,81.0
2320127002,2016-05-01,81.0
2320127002,2016-05-02,81.0
2320127002,2016-05-03,81.0
2320127002,2016-05-04,81.0
2320127002,2016-05-05,81.0
2320127002,2016-05-06,81.0
2320127002,2016-05-07,81.0
2320127002,2016-05-08,81.0
2320127002,2016-05-09,81.0
2320127002,2016-05-10,81.0
2320127002,2016-05-11,81.0
2320127002,2016-05-12,81.0
2347167796,2016-03-11,22.0
2347167796,2016-03-12,532.0
2347167796,2016-03-13,669.0
2347167796,2016-03-14,510.0
2347167796,2016-03-15,636.0
2347167796,2016-03-16,511.0
2347167796,2016-03-17,446.0
2347167796,2016-03-18,682.0
2347167796,2016-03-19,275.0
2347167796,2016-03-20,651.0
2347167796,2016-03-21,522.0
2347167796,2016-03-22,565.0
2347167796,2016-03-23,545.0
2347167796,2016-03-24,554.0
2347167796,2016-03-25,387.0
2347167796,2016-03-26,387.0
2347167796,2016-03-27,183.0
2347167796,2016-03-28,609.0
2347167796,2016-03-29,527.0
2347167796,2016-03-30,563.0
2347167796,2016-03-31,643.0
2347167796,2016-04-01,410.0
2347167796,2016-04-02,519.0
2347167796,2016-04-03,686.0
2347167796,2016-04-04,584.0
2347167796,2016-04-05,510.0
2347167796,2016-04-06,483.0
2347167796,2016-04-07,86.0
2347167796,2016-04-08,430.0
2347167796,2016-04-09,25.0
2347167796,2016-04-10,727.0
2347167796,2016-04-11,448.0
2347167796,2016-04-12,125.0
2347167796,2016-04-13,597.0
2347167796,2016-04-14,513.0
2347167796,2016-04-15,459.0
2347167796,2016-04-16,70.0
2347167796,2016-04-17,728.0
2347167796,2016-04-18,604.0
2347167796,2016-04-19,437.0
2347167796,2016-04-20,114.0
2347167796,2016-04-21,448.0
2347167796,2016-04-22,470.0
2347167796,2016-04-23,437.0
2347167796,2016-04-24,510.0
2347167796,2016-04-25,538.0
2347167796,2016-04-26,532.0
2347167796,2016-04-27,548.0
2347167796,2016-04-28,481.0
2347167796,2016-04-29,473.0
2347167796,2016-04-30,473.0
2347167796,2016-05-01,473.0
2347167796,2016-05-02,473.0
2347167796,2016-05-03,473.0
2347167796,2016-05-04,473.0
2347167796,2016-05-05,473.0
2347167796,2016-05-06,473.0
2347167796,2016-05-07,473.0
2347167796,2016-05-08,473.0
2347167796,2016-05-09,473.0
2347167796,2016-05-10,473.0
2347167796,2016-05-11,473.0
2347167796,2016-05-12,473.0
3977333714,2016-03-11,651.0
3977333714,2016-03-12,651.0
3977333714,2016-03-13,651.0
3977333714,2016-03-14,540.0
3977333714,2016-03-15,517.0
3977333714,2016-03-16,435.0
3977333714,2016-03-17,610.0
3977333714,2016-03-18,610.0
3977333714,2016-03-19,610.0
3977333714,2016-03-20,610.0
3977333714,2016-03-21,610.0
3977333714,2016-03-22,610.0
3977333714,2016-03-23,610.0
3977333714,2016-03-24,610.0
3977333714,2016-03-25,610.0
3977333714,2016-03-26,610.0
3977333714,2016-03-27,610.0
3977333714,2016-03-28,610.0
3977333714,2016-03-29,610.0
3977333714,2016-03-30,610.0
3977333714,2016-03-31,610.0
3977333714,2016-04-01,565.0
3977333714,2016-04-02,383.0
3977333714,2016-04-03,504.0
3977333714,2016-04-04,544.0
3977333714,2016-04-05,596.0
3977333714,2016-04-06,556.0
3977333714,2016-04-07,598.0
3977333714,2016-04-08,657.0
3977333714,2016-04-09,567.0
3977333714,2016-04-10,611.0
3977333714,2016-04-11,555.0
3977333714,2016-04-12,677.0
3977333714,2016-04-13,623.0
3977333714,2016-04-14,508.0
3977333714,2016-04-15,690.0
3977333714,2016-04-16,737.0
3977333714,2016-04-17,755.0
3977333714,2016-04-18,635.0
3977333714,2016-04-19,575.0
3977333714,2016-04-20,517.0
3977333714,2016-04-21,644.0
3977333714,2016-04-22,598.0
3977333714,2016-04-23,510.0
3977333714,2016-04-24,744.0
3977333714,2016-04-25,676.0
3977333714,2016-04-26,494.0
3977333714,2016-04-27,736.0
3977333714,2016-04-28,592.0
3977333714,2016-04-29,623.0
3977333714,2016-04-30,648.0
3977333714,2016-05-01,758.0
3977333714,2016-05-02,546.0
3977333714,2016-05-03,716.0
3977333714,2016-05-04,462.0
3977333714,2016-05-05,644.0
3977333714,2016-05-06,707.0
3977333714,2016-05-07,650.0
3977333714,2016-05-08,653.0
3977333714,2016-05-09,653.0
3977333714,2016-05-10,597.0
3977333714,2016-05-11,597.0
3977333714,2016-05-12,597.0
4020332650,2016-03-11,484.0
4020332650,2016-03-12,484.0
4020332650,2016-03-13,569.0
4020332650,2016-03-14,316.0
4020332650,2016-03-15,356.0
4020332650,2016-03-16,532.0
4020332650,2016-03-17,442.0
4020332650,2016-03-18,442.0
4020332650,2016-03-19,442.0
4020332650,2016-03-20,442.0
4020332650,2016-03-21,442.0
4020332650,2016-03-22,442.0
4020332650,2016-03-23,442.0
4020332650,2016-03-24,442.0
4020332650,2016-03-25,442.0
4020332650,2016-03-26,442.0
4020332650,2016-03-27,442.0
4020332650,2016-03-28,442.0
4020332650,2016-03-29,442.0
4020332650,2016-03-30,410.0
