Id,TotalSteps,TotalSteps,TotalSteps,TotalDistance,TotalDistance,TotalDistance,VeryActiveMinutes,VeryActiveMinutes,VeryActiveMinutes,FairlyActiveMinutes,FairlyActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,LightlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,SedentaryMinutes,SedentaryMinutes,Calories,Calories,Calories
,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min
5553957443,8743.97619047619,17022,655,5.722142887966974,11.1199998855591,0.430000007152557,24.023809523809526,69,0,14.357142857142858,42,0,204.57142857142858,327,46,666.952380952381,943,222,1899.4285714285713,2659,741
5577150313,8385.926829268292,15764,0,6.276341432478368,11.7799997329712,0.0,85.85365853658537,210,0,29.390243902439025,74,0,150.4390243902439,240,0,730.6585365853658,1440,209,3343.7073170731705,4552,1511
6117666160,7363.0,19658,0,5.5750000351353695,15.0100002288818,0.0,1.2894736842105263,26,0,2.5789473684210527,30,0,291.39473684210526,518,0,814.1315789473684,1440,125,2218.5526315789475,4900,0
6290855005,4615.846153846154,9837,0,3.4905128295605,7.44000005722046,0.0,4.051282051282051,33,0,5.564102564102564,107,0,179.2051282051282,363,0,1217.7948717948718,1440,494,2488.3333333333335,3327,0
6391747486,1336.888888888889,9766,0,1.0744444661670265,7.51000022888184,0.0,5.111111111111111,46,0,0.6666666666666666,6,0,34.333333333333336,301,0,1261.888888888889,1440,198,1763.111111111111,2442,251
6775888955,3301.2285714285713,13987,0,2.3719999735908854,10.0299997329712,0.0,13.285714285714286,70,0,23.65714285714286,133,0,61.714285714285715,300,0,1227.0285714285715,1440,550,2284.2571428571428,4286,787
6962181067,10922.613636363636,20031,1551,7.391590931198817,13.2399997711182,1.02999997138977,27.318181818181817,93,0,22.272727272727273,77,0,255.45454545454547,369,86,659.5454545454545,942,127,2061.181818181818,2911,928
7007744171,11933.324324324325,21585,0,8.504864853781624,16.059999942779513,0.0,36.2972972972973,106,0,16.7027027027027,50,0,287.27027027027026,424,0,1066.1351351351352,1440,111,2639.7027027027025,3960,120
7086361926,8661.238095238095,14604,0,5.88476188689293,10.8199996948242,0.0,38.92857142857143,87,0,23.761904761904763,69,0,135.0952380952381,308,0,881.6666666666666,1440,343,2516.214285714286,3397,1199
8053475328,15145.121951219513,25701,1170,11.782195043636527,20.1399993896484,0.850000023841858,87.14634146341463,165,0,10.292682926829269,36,0,155.5609756097561,228,39,1167.0,1792,695,3003.5365853658536,3977,1505
8253242879,5061.333333333333,12026,0,3.62766668399175,9.14999961853027,0.0,15.333333333333334,49,0,10.933333333333334,54,0,97.73333333333333,216,0,1356.2666666666667,2684,1139,1717.6,2218,0
8378563200,8758.857142857143,16208,2132,6.946190521830603,12.8500003814697,1.69000005722046,59.142857142857146,137,0,10.523809523809524,30,0,163.47619047619048,243,93,724.047619047619,966,433,3495.4285714285716,5517,1976
8583815059,6346.615384615385,15168,0,4.951282015213601,11.8299999237061,0.0,7.82051282051282,77,0,18.025641025641026,91,0,138.05128205128204,317,0,1266.1025641025642,1440,1052,2662.128205128205,3513,0
8792009665,2272.425,8452,0,1.4544999970588839,5.40999984741211,0.0,1.15,10,0,4.55,45,0,106.175,380,0,1036.925,1440,48,2044.775,3101,57
8877689391,16815.380952380954,29326,4790,13.778333232516335,27.5300006866455,3.64000010490417,67.85714285714286,128,0,11.642857142857142,46,0,242.0952380952381,429,105,1120.3095238095239,1567,770,3510.5238095238096,4859,1849
